Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°
[Thiªn Tø] Tø Kh«ng Tö Kim Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bÞ B¹ch Kim	4	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	2	306	306	178	178	317	317					3
[Thiªn Tø] Tø Kh«ng Hé Ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	2	309	309	177	177	311	311	416	416	425	425	3
[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	2	417	417	326	326	311	311	6	6	179	179	3
[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	0									129	129	130	130									3
[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4
[Thiªn Tø] H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	2	306	306	180	180	311	311					4
[Thiªn Tø] H¸m Thiªn Uy Vò Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	2	309	309	191	191	311	311	416	416	156	156	4
[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130									4
[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	2	320	320	192	192	419	419	319	319	190	190	4
[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Trang bÞ B¹ch Kim	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5
[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	2	40	40	185	185	79	79					5
[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	2	309	309	188	188	311	311	416	416	156	156	5
[Thiªn Tø] KÕ  NghiÖp Háa V©n Kú L©n Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130									5
[Thiªn Tø] KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	2	104	104	189	189	311	311	319	319	186	186	5
[Thiªn Tø] Ngù Long L­îng Ng©n B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	1							57	620	52	625	46	592	69	593	110	111	73	73	6
[Thiªn Tø] Ngù Long ChiÕn ThÇn Phi Qu¸i Gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	0	99999	10	0																						36	120	39	1									2	2	438	438	79	79	107	107	280	280			6
[Thiªn Tø] Ngù Long Thiªn M«n Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	2	309	309	182	182	311	311	416	416	156	156	6
[Thiªn Tø] Ngù Long TÊn Phong Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							2	2	327	327	183	183	311	311	319	319	181	181	6
[Thiªn Tø] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	1									129	129	130	130									6
[Thiªn Tø] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Trang bÞ B¹ch Kim	0	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	110	39	4							2	616	43	43	48	592	71	593	113	595	461	461	7
[Thiªn Tø] V« Gian Thanh Phong Tri Y	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	Trang bÞ B¹ch Kim	4	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	4							2	2	306	306	193	193	317	317					7
[Thiªn Tø] V« Gian PhËt V©n Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	4							418	418	309	309	196	196	307	307	6	6	425	425	7
[Thiªn Tø] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	4							2	2	329	329	439	439	307	307	6	6	328	328	7
[Thiªn Tø] V« Gian B¹ch Ngäc Bµn ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	4									129	129	130	130									7
[Thiªn Tø] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							2	2	307	307	420	420	309	309	6	6	427	427	8
[Thiªn Tø] V« Ma Tö Kh©m Cµ Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	4							2	2	306	306	6	6	317	317					8
[Thiªn Tø] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	4	99999	10	0	31	80	80																			36	120	39	4									129	129	130	130									8
[Thiªn Tø] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	31	60	60																			36	120	39	4									146	632	304	304	57	621	322	313	498	498	499	499	8
[Thiªn Tø] V« Ma Hång Truy NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							2	2	320	320	199	199	88	88	8	8	330	330	8
[Thiªn Tø] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							418	418	309	309	197	197	312	312	421	421	420	420	9
[Thiªn Tø] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	4									2	2	88	88	331	331	95	95	8	8	107	107	9
[Thiªn Tø] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	4									129	129	130	130									9
[Thiªn Tø] V« TrÇn PhËt T©m Tõ Hùu Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ B¹ch Kim	0	99999	10	0																						36	120	39	4									4	4	158	158	6	6	332	332					9
[Thiªn Tø] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0	31	80	80																			36	120	39	4									2	2	419	419	6	6	203	203	417	417	115	115	9
[Thiªn Tø] Tª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	5							2	616	43	43	48	592	71	593	113	595	462	462	10
[Thiªn Tø] Thª Hoµng TuÖ T©m Kinh Sa Y	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	Trang bÞ B¹ch Kim	4	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	5							2	2	306	306	207	207	317	317					10
[Thiªn Tø] Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	5							2	2	309	309	206	206	307	307	6	6	426	426	10
[Thiªn Tø] Tª Hoµng B¨ng Tung CÈm Uyªn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	5							2	2	333	333	439	439	307	307	6	6	204	204	10
[Thiªn Tø] Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	2	99999	10	0																						36	120	39	5									129	129	130	130									10
[Thiªn Tø] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	Trang bÞ B¹ch Kim	2	99999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	120	32	160	39	5							4	619	304	304	209	465	148	633	8	612	462	462	11
[Thiªn Tø] BÝch H¶i Hoµn Ch©u Vò Liªn	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	Trang bÞ B¹ch Kim	0	99999	10	0																						36	120	39	5									2	2	95	95	6	6	107	107	88	88	211	211	11
[Thiªn Tø] BÝch H¶i Hång Linh Kim Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	4	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	5							2	2	309	309	210	210	419	419	421	421	422	422	11
[Thiªn Tø] BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ B¹ch Kim	0	99999	10	0	31	60	60																			36	120	39	5									1	1	296	296	8	8	39	39	78	78	282	282	11
[Thiªn Tø] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	5									129	129	130	130									11
[Thiªn Tø] U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	2	302	302	283	283	143	143	6	6	160	160	12
[Thiªn Tø] U Lung XÝch YÕt MËt Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							2	2	40	40	225	225	317	317	6	6	334	334	12
[Thiªn Tø] U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ B¹ch Kim	0	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	2	309	309	227	227	307	307	6	6	423	423	12
[Thiªn Tø] U Lung Ng©n ThiÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ B¹ch Kim	4	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							129	129	130	130									12
[Thiªn Tø] U Lung MÆc Thï NhuyÔn Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	140	140	31	60	60																36	120	32	50	39	3							1	615	127	589	60	622	103	587	614	613	508	508	12
[Thiªn Tø] Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	3							46	592	69	71	113	595	73	73	41	41	75	626	13
[Thiªn Tø] Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	3							418	418	336	336	306	306	307	307	6	6	417	417	13
[Thiªn Tø] Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	4	99999	10	0																						36	120	39	3									129	129	130	130									13
[Thiªn Tø] Minh ¶o Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	3							2	2	309	309	232	232	307	307	335	335	425	425	13
[Thiªn Tø] Vô Ho¸n Song Hoµn Xµ Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	3							2	2	104	104	335	335	336	336	6	6	231	231	13
[Thiªn Tø] Chó Ph­îc Ph¸ Gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	2	337	337	6	6	307	307	233	233	31	31	14
[Thiªn Tø] Chó Ph­îc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	3	99999	10	0																						36	120	39	3									2	2	93	93	234	234	95	95	8	8	107	107	14
[Thiªn Tø] Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	3									129	129	130	130									14
[Thiªn Tø] Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							418	418	309	309	161	161	312	312	421	421	423	423	14
[Thiªn Tø] Chó Phäc B¨ng Háa Thùc Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	0	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	2	104	104	236	236	27	27	6	6	235	235	14
[Thiªn Tø] B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart28.spr	15	1	1	Trang bÞ B¹ch Kim	0	99999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	120	32	90	33	110	39	2					2	617	44	44	46	592	69	593	113	595	471	471	15
[Thiªn Tø] B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ B¹ch Kim	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					418	418	338	338	306	306	307	307	6	6	215	215	15
[Thiªn Tø] B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	418	309	309	212	212	307	307	6	6	423	423	15
[Thiªn Tø] B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ B¹ch Kim	1	99999	10	0																						36	120	39	2									129	129	130	130									15
[Thiªn Tø] B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ B¹ch Kim	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					2	2	104	104	214	214	338	338	6	6	213	213	15
[Thiªn Tø] Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart29.spr	17	2	2	Trang bÞ B¹ch Kim	0	99999	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	120	32	65	33	230	39	2					8	611	43	43	48	592	71	594	113	595	471	471	16
[Thiªn Tø] Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ B¹ch Kim	4	99999	10	0																						36	120			39	2							2	2	317	317	212	212	107	107	8	8			16
[Thiªn Tø] Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ B¹ch Kim	3	99999	10	0	30	111	111	31	80	80																36	120	32	90	33	110	39	2					2	2	309	309	217	217	307	307	6	6	425	425	16
[Thiªn Tø] Thiªn Ngoa Phong B·o Hµn ThiÕt Träc	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	1	99999	10	0	30	135	135	31	80	80																36	120	32	75	33	90	39	2					2	2	339	339	437	437	317	317	6	6	216	216	16
