效果	是否前缀	五行要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明
毒防4				101	35	50	-1	-1	0	0	0
普防1				104	-5	5	-1	-1	0	0	0
普防2				104	15	25	-1	-1	0	0	0
普防3				104	20	30	-1	-1	0	0	0
普防4				104	30	50	-1	-1	0	0	0
幸运1				135	6	10	-1	-1	0	0	0
幸运2				135	8	12	-1	-1	0	0	0
幸运3				135	15	20	-1	-1	0	0	0
跑速1				111	-10	10	-1	-1	0	0	0
跑速2				111	25	40	-1	-1	0	0	0
跑速3				111	35	50	-1	-1	0	0	0
跑速4				111	60	80	-1	-1	0	0	0
全抗1				114	-5	5	-1	-1	0	0	0
全抗2				114	12	20	-1	-1	0	0	0
全抗3				114	16	24	-1	-1	0	0	0
全抗4				114	30	40	-1	-1	0	0	0
吸血1				136	2	10	-1	-1	0	0	0
吸血2				136	6	10	-1	-1	0	0	0
吸血3				136	8	12	-1	-1	0	0	0
吸内1				137	2	10	-1	-1	0	0	0
吸内2				137	6	10	-1	-1	0	0	0
吸内3				137	8	12	-1	-1	0	0	0
物理伤害吸收1				134	1	1	-1	-1	0	0	0
物理伤害吸收2				134	1	1	-1	-1	0	0	0
物理伤害吸收3				134	1	1	-1	-1	0	0	0
冰伤害吸收1				134	1	1	-1	-1	0	0	0
冰伤害吸收2				134	1	1	-1	-1	0	0	0
冰伤害吸收3				134	1	1	-1	-1	0	0	0
火伤害吸收1				134	1	1	-1	-1	0	0	0
火伤害吸收2				134	1	1	-1	-1	0	0	0
火伤害吸收3				134	1	1	-1	-1	0	0	0
雷伤害吸收1				134	1	1	-1	-1	0	0	0
雷伤害吸收2				134	1	1	-1	-1	0	0	0
雷伤害吸收3				134	1	1	-1	-1	0	0	0
缩短毒发间隔				109	10	20	-1	-1	0	0	0
缩短施法速度				116	24	36	-1	-1	0	0	0
永不磨损				43	1	1	-1	-1	0	0	0
全技能1				139	1	1	-1	-1	0	0	0
全技能2				139	2	2	-1	-1	0	0	0
全技能3				139	3	3	-1	-1	0	0	0
会心率1				146	5	10	-1	-1	0	0	0
会心率2				146	8	12	-1	-1	0	0	0
忽略闪避1				58	5	10	-1	-1	0	0	0
忽略闪避2				58	8	12	-1	-1	0	0	0
反弹1				117	5	10	-1	-1	0	0	0
反弹2				117	8	12	-1	-1	0	0	0
反弹3				117	12	16	-1	-1	0	0	0
内普伤1				168			-1	-1	0	0	0
内普伤2				168			-1	-1	0	0	0
内普伤3				168			-1	-1	0	0	0
内毒伤1				172			-1	-1	0	0	0
内毒伤2				172			-1	-1	0	0	0
内毒伤3				172			-1	-1	0	0	0
内冰伤1				169			-1	-1	0	0	0
内冰伤2				169			-1	-1	0	0	0
内冰伤3				169	200	300	-1	-1	0	0	0
内火伤1				170			-1	-1	0	0	0
内火伤2				170			-1	-1	0	0	0
内火伤3				170			-1	-1	0	0	0
内电伤1				171			-1	-1	0	0	0
内电伤2				171			-1	-1	0	0	0
内电伤3				171			-1	-1	0	0	0
如来千叶				139	1	1	-1	-1	273	273	0
天王战意				139	1	1	-1	-1	36	36	0
佛法无边				139	1	1	-1	-1	252	252	0
佛心慈佑				139	1	1	-1	-1	92	92	0
冰骨雪心				139	1	1	-1	-1	114	114	0
五毒奇经				139	1	1	-1	-1	75	75	0
穿心毒刺				139	1	1	-1	-1	72	72	0
心眼				139	1	1	-1	-1	48	48	0
寒冰刺				43	1	1	-1	-1	0	0	0
醉碟狂舞				139	1	1	-1	-1	130	130	0
天魔解体				139	1	1	-1	-1	150	150	0
悲酥清风				43	1	1	-1	-1	0	0	0
太极神功				139	1	1	-1	-1	166	166	0
霜傲昆仑				139	1	1	-1	-1	275	275	0
羁绊符				139	1	1	-1	-1	174	174	0
少林拳法				139	1	3	-1	-1	8	8	0
龙爪虎抓				139	1	3	-1	-1	271	271	0
行龙不雨				139	1	3	-1	-1	14	14	0
罗汉阵				139	1	3	-1	-1	16	16	0
易筋经				139	1	3	-1	-1	21	21	0
少林棍法				139	1	3	-1	-1	4	4	0
横扫六合				139	1	3	-1	-1	11	11	0
金刚伏魔				139	1	3	-1	-1	10	10	0
少林刀法				139	1	3	-1	-1	6	6	0
摩诃无量				139	1	3	-1	-1	19	19	0
天王锤法				139	1	3	-1	-1	26	26	0
无心斩				139	1	3	-1	-1	32	32	0
惊雷斩				139	1	3	-1	-1	34	34	0
泼风斩				139	1	3	-1	-1	37	37	0
金钟罩				139	1	3	-1	-1	42	42	0
天王枪法				139	1	3	-1	-1	23	23	0
血战八方				139	1	3	-1	-1	41	41	0
天王刀法				139	1	3	-1	-1	24	24	0
回风落雁				139	1	3	-1	-1	30	30	0
阳关三叠				139	1	3	-1	-1	35	35	0
乘龙诀				43	1	1	-1	-1	0	0	0
斩龙诀				139	1	3	-1	-1	29	29	0
行云诀				139	1	3	-1	-1	31	31	0
峨嵋剑法				139	1	3	-1	-1	77	77	0
不灭不绝				139	1	3	-1	-1	88	88	0
飘雪穿云				139	1	3	-1	-1	80	80	0
一叶知秋				139	1	3	-1	-1	85	85	0
流水				139	1	3	-1	-1	83	83	0
峨嵋掌法				139	1	3	-1	-1	79	79	0
四象同归				139	1	3	-1	-1	82	82	0
佛光普照				139	1	3	-1	-1	91	91	0
清音梵唱				43	1	1	-1	-1	0	0	0
金顶佛光				43	1	1	-1	-1	0	0	0
慈航普渡				139	1	3	-1	-1	93	93	0
翠烟刀法				139	1	3	-1	-1	95	95	0
牧野流星				139	1	3	-1	-1	108	108	0
风花雪月				139	1	3	-1	-1	99	99	0
雨打梨花				139	1	3	-1	-1	105	105	0
踏雪无痕				139	1	3	-1	-1	270	270	0
翠烟双刀				139	1	3	-1	-1	97	97	0
风卷残雪				139	1	3	-1	-1	102	102	0
浮云散雪				139	1	3	-1	-1	113	113	0
唐门暗器				139	1	3	-1	-1	43	43	0
小李飞刀				139	1	3	-1	-1	247	247	0
霹雳弹				139	1	3	-1	-1	45	45	0
追心箭				139	1	3	-1	-1	50	50	0
天罗地网				139	1	3	-1	-1	58	58	0
漫天花雨				139	1	3	-1	-1	54	54	0
散花镖				43	1	1	-1	-1	0	0	0
夺魂镖				139	1	3	-1	-1	47	47	0
五行陷阱				43	1	1	-1	-1	0	0	0
地焰火				43	1	1	-1	-1	0	0	0
毒刺骨				43	1	1	-1	-1	0	0	0
穿心刺				43	1	1	-1	-1	0	0	0
雷击术				43	1	1	-1	-1	0	0	0
五毒掌法				139	1	3	-1	-1	62	62	0
天罡地煞手				139	1	3	-1	-1	71	71	0
毒砂掌				139	1	3	-1	-1	63	63	0
幽冥骷髅				139	1	3	-1	-1	68	68	0
万蛊蚀心				139	1	3	-1	-1	73	73	0
五毒刀法				139	1	3	-1	-1	60	60	0
朱蛤青冥				139	1	3	-1	-1	74	74	0
血刀毒杀				139	1	3	-1	-1	65	65	0
穿衣破甲				43	1	1	-1	-1	0	0	0
九天狂雷				139	1	3	-1	-1	67	67	0
冰蓝玄晶				139	1	3	-1	-1	64	64	0
赤炎蚀天				139	1	3	-1	-1	70	70	0
丐帮掌法				139	1	3	-1	-1	116	116	0
亢龙有悔				139	1	3	-1	-1	128	128	0
见人伸手				139	1	3	-1	-1	122	122	0
降龙掌				139	1	3	-1	-1	274	274	0
滑不留手				139	1	3	-1	-1	277	277	0
丐帮棒法				139	1	3	-1	-1	115	115	0
沿门托钵				139	1	3	-1	-1	119	119	0
打狗阵				139	1	3	-1	-1	124	124	0
天忍矛法				139	1	3	-1	-1	132	132	0
偷天换日				139	1	3	-1	-1	142	142	0
残阳如血				139	1	3	-1	-1	135	135	0
烈火情天				139	1	3	-1	-1	141	141	0
五行阵				139	1	3	-1	-1	146	146	0
天忍刀法				139	1	3	-1	-1	131	131	0
魔炎七杀				139	1	3	-1	-1	148	148	0
弹指烈焰				139	1	3	-1	-1	145	145	0
推山填海				139	1	3	-1	-1	138	138	0
厉魔夺魂				139	1	3	-1	-1	143	143	0
火莲焚华				139	1	3	-1	-1	136	136	0
幻影飞狐				139	1	3	-1	-1	137	137	0
飞鸿无迹				139	1	3	-1	-1	140	140	0
武当剑法				139	1	3	-1	-1	151	151	0
三环套月				139	1	3	-1	-1	267	267	0
沧海明月				139	1	3	-1	-1	155	155	0
剑飞惊天				139	1	3	-1	-1	158	158	0
梯云纵				139	1	3	-1	-1	16	16	0
武当拳法				139	1	3	-1	-1	152	152	0
无我无剑				139	1	3	-1	-1	165	165	0
怒雷指				139	1	3	-1	-1	153	153	0
剥及而复				139	1	3	-1	-1	164	164	0
昆仑刀法				139	1	3	-1	-1	167	167	0
狂风骤电				139	1	3	-1	-1	176	176	0
呼风法				139	1	3	-1	-1	169	169	0
一气三清符				139	1	3	-1	-1	178	178	0
清风符				139	1	3	-1	-1	171	171	0
昆仑剑法				139	1	3	-1	-1	168	168	0
五雷正法				139	1	3	-1	-1	182	182	0
狂雷震地				139	1	3	-1	-1	179	179	0
迅雷咒				139	1	3	-1	-1	172	172	0
欺寒傲雪				139	1	3	-1	-1	175	175	0
醉仙错骨				43	1	1	-1	-1	0	0	0
天清地浊				139	1	3	-1	-1	173	173	0
弃心符				139	1	3	-1	-1	181	181	0
断魂刺				139	1	3	-1	-1	40	40	0
静心诀				139	1	3	-1	-1	33	33	0
雪影				139	1	3	-1	-1	109	109	0
无形蛊				139	1	3	-1	-1	73	73	0
慧眼咒				139	1	3	-1	-1	18	18	0
坐望无我				139	1	3	-1	-1	157	157	0
纯阳心法				139	1	3	-1	-1	156	156	0
七星阵				139	1	3	-1	-1	159	159	0
梯云纵				139	1	3	-1	-1	160	160	0
棒打恶狗				139	1	3	-1	-1	125	125	0
逍遥功				43	1	1	-1	-1	0	0	0
碧海潮生				139	1	3	-1	-1	111	111	0
近反1				118	5	10	-1	-1	0	0	0
近反2				118	8	12	-1	-1	0	0	0
近反3				118	12	16	-1	-1	0	0	0
远反1				120	5	10	-1	-1	0	0	0
远反2				120	8	12	-1	-1	0	0	0
远反3				120	12	16	-1	-1	0	0	0
