Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
2400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3000	§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	160	0	0	0	1	0	10000
3000	§Þnh Quèc Thanh Sa Tr­êng Sam	1	159	0	0	0	1	0	10000
3000	§Þnh Quèc Tö §»ng Hé uyÓn	1	162	0	0	0	1	0	10000
3000	§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	161	0	0	0	1	0	10000
3000	§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	163	0	0	0	1	0	10000
3100	Bµn Nh­îc T©m Kinh	0	6	1	12	0	1	0	10000
3200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
3900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4000	TÈy Tñy Kinh	0	6	1	22	0	1	0	10000
4100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
4900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5000	Vâ L©m MËt TÞch	0	6	1	26	0	1	0	10000
5100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
5900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6000	L­u Tinh. §ao ph¸p	0	6	1	36	0	1	0	10000
6000	Th¸i Cùc QuyÒn Phæ. QuyÓn 3	0	6	1	33	0	1	0	10000
6000	C¸i Bang Ch­ëng Ph¸p	0	6	1	54	0	1	0	10000
6000	Th¸i Cùc KiÕm Phæ. QuyÓn 2	0	6	1	34	0	1	0	10000
6000	Nga Mi  PhËt Quang Ch­ëng MËt TÞch	0	6	1	43	0	1	0	10000
6000	Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	0	6	1	38	0	1	0	10000
6000	DiÖt KiÕm MËt TÞch	0	6	1	42	0	1	0	10000
6000	C¸i Bang C«n ph¸p	0	6	1	55	0	1	0	10000
6000	Tô TiÔn thuËt. B¹o Vò Lª Hoa	0	6	1	27	0	1	0	10000
6000	Phi §ao thuËt. NhiÕp Hån NguyÖt ¶nh	0	6	1	45	0	1	0	10000
6000	Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	0	6	1	37	0	1	0	10000
6000	Thóy Yªn §ao ph¸p	0	6	1	40	0	1	0	10000
6000	Thóy Yªn Song ®ao	0	6	1	41	0	1	0	10000
6000	Phi Tiªu thuËt. Cöu Cung Phi Tinh	0	6	1	46	0	1	0	10000
6000	Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	0	6	1	47	0	1	0	10000
6000	Ngù L«i thuËt	0	6	1	51	0	1	0	10000
6000	Ngù Phong thuËt	0	6	1	50	0	1	0	10000
6000	V©n Long KÝch. M©u ph¸p	0	6	1	35	0	1	0	10000
6000	Thiªn V­¬ng §ao ph¸p.QuyÓn 3	0	6	1	39	0	1	0	10000
6000	Ngò §éc §ao ph¸p. QuyÓn 2	0	6	1	48	0	1	0	10000
6000	ThiÕu L©m §ao ph¸p. QuyÓn 3	0	6	1	58	0	1	0	10000
6000	H·m TÜnh thuËt.Lo¹n Hoµn KÝch	0	6	1	28	0	1	0	10000
6000	Ngò §éc NhiÕp T©m thuËt. QuyÓn 3	0	6	1	49	0	1	0	10000
6000	Ngù T©m thuËt	0	6	1	52	0	1	0	10000
6000	NhiÕp Hån. Chó thuËt	0	6	1	53	0	1	0	10000
6000	ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	0	6	1	56	0	1	0	10000
6000	ThiÕu L©m C«n ph¸p. QuyÓn 2	0	6	1	57	0	1	0	10000
6000	Phæ §é MËt TÞch	0	6	1	59	0	1	0	10000
6100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
6900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7000	§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	160	0	0	0	1	0	10000
7000	§Þnh Quèc Thanh Sa Tr­êng Sam	1	159	0	0	0	1	0	10000
7000	§Þnh Quèc Tö §»ng Hé uyÓn	1	162	0	0	0	1	0	10000
7000	§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	1	161	0	0	0	1	0	10000
7000	§Þnh Quèc Ng©n Tµm Yªu ®¸i	1	163	0	0	0	1	0	10000
7100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
7900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
8000	An Bang B¨ng Tinh Th¹ch H¹ng Liªn	1	164	0	0	0	1	0	10000
8000	An Bang Kª HuyÕt Th¹ch Giíi ChØ 	1	167	0	0	0	1	0	10000
8000	An Bang §iÒn Hoµng Th¹ch Ngäc Béi	1	166	0	0	0	1	0	10000
8000	An Bang Cóc Hoa Th¹ch ChØ hoµn	1	165	0	0	0	1	0	10000
